Series Name,Series Code,Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,"Korea, Rep.",KOR,6670000000,6350000000,6317000000,8263000000,8337000000,8527000000,7917000000,7617000000,7002000000,8222000000,8282000000,8437000000,9253000000,13440000000,13262000000,14315000000,17329000000,18731000000,19457000000,22390000000,18711000000,20924000000,17173000000,23104000000,25456000000,11776000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,China,CHN,,,12626000000,13229000000,15006000000,17318000000,19006000000,21742000000,18707000000,27755000000,,,,,,,,,,,,,,,,
